id,autahunor,guid,description,Text Cleaning,Sentiment
737,@muttaqiennoor513,Ugxel-O4flOSRsGzH3B4AaABAg.9EaKKS0_4wB9EcDLHhH9zv,@@nasilahnasilah3895 lah kenapa lu?,Nasilahnasilah3895 lah kenapa lu,netral
738,@muttaqiennoor513,Ugxel-O4flOSRsGzH3B4AaABAg.9EaKKS0_4wB9EcDOJkVRJg,@@stitch0559 ciye pasukan kodok kolam akhirnya keluar,Stitch0559 ciye pasukan kodok kolam akhirnya keluar,netral
739,@agusrusmiyanto206,UgySYw-tEpgG23iLNIZ4AaABAg,"Auto bar bar ,senajan aim ku busuk",Auto bar bar senajan aim ku busuk,negatif
740,@bartest8228,Ugzp_z-ZZWJT4GrUrax4AaABAg,"Joookk jokk,, sudah kubilang kauuuuu jangan berrrperang (Pake logat batak)",Joookk jokk sudah kubilang kauuuuu jangan berrrperang pake logat batak,negatif
741,@surapatipati7672,UgxJmMqYRSVVLlhl2N54AaABAg,Ke MK ??? kita liat saja sengketa Pilpres yg lalu. masih mending ke Mahkamah Agung yg sdh pro rakyat dgn BPJS walaupun dipatahkan lagi dgn Kepres. Jadi skrg rakyat sdh cerdas mana politik dan mana yg dzolim membohongi rakyat.,Ke mk kita liat saja sengketa pilpres yg lalu masih mending ke mahkamah agung yg sdh pro rakyat dgn bpjs walaup,negatif
742,@adrianchanel7225,Ugz5SwpTEqFTNZeWIPh4AaABAg,Mk punya siapa apakah projo.,Mk punya siapa apakah projo,negatif
743,@tetyelistagusty3678,UgxyWFJ-BSMsHTq7XfF4AaABAg,Pak de....lupa dulu hidup susah masa kecil ya ..... Ingat pak de...kuasa yg di atas. Lebih tinggi,Pak delupa dulu hidup susah masa kecil ya ingat pak dekuasa yg di atas lebih tinggi,negatif
744,@netaaminuddin4390,UgxyWFJ-BSMsHTq7XfF4AaABAg.9EaKG-LXfrf9EaUk9sYNKd,"Ya begitulah, makanya skrg ngotot gak mau susah lagi ......ðŸ˜€ðŸ˜€ðŸ˜€",Ya begitulah makanya skrg ngotot gak mau susah lagi,negatif
745,@Noname_542,Ugy7UBNjG-8fF0UH5Qt4AaABAg,Katany lu kangen di demo cuk!! Turun!!,Katany lu kangen di demo cuk turun,negatif
746,@wanlibrawinardi1460,Ugy7UBNjG-8fF0UH5Qt4AaABAg.9EaKDJRVtQ89EknY6IBK1q,Mantaaaabbb,Mantaaaabbb,positif
747,@rickyh606,Ugy7UBNjG-8fF0UH5Qt4AaABAg.9EaKDJRVtQ89FbtN9yjwzk,Lanjutkan ðŸ‘,Lanjutkan,positif
748,@kosakata8632,Ugyfv86jZCbbN32BGUx4AaABAg,"Masalahnya buruh2 itu bego2 dan mahasiswa itu mana tau kaya apa dunia kerja Diluar negeri sistemnya juga per jam kaga bulan, apa mereka sengsara? XD",Masalahnya buruh2 itu bego2 dan mahasiswa itu mana tau kaya apa dunia kerja diluar negeri sistemnya juga per jam kaga bulan apa mereka sengsara xd,negatif
749,@kosakata8632,Ugyfv86jZCbbN32BGUx4AaABAg.9EaKBIZdy-R9EcfLVMnCvG,@@sediagaram6108 lo kira diamerika pengeluaran pake rupiah? cek berapa biaya hidup amerika Lo pernah ke amerika kaga? disono gaji kurs gede pengeluaran gede sama aja boong XD,Sediagaram6108 lo kira diamerika pengeluaran pake rupiah cek berapa biaya hidup amerika lo pernah ke amerika kaga disono gaji kurs gede pengeluaran gede sama aja b,negatif
750,@jonesman5444,Ugxe5qpxZBTcGpMeM_V4AaABAg,tolak uu cipta kerja,Tolak uu cipta kerja,negatif
751,@momonosuke3338,UgxxsiapaS5mIFxZwnrIAh4AaABAg,MK cuman ngecek formalitas bukan ketidak adilan..inget hidup g lama pak..pemimpin zalim neraka loh hukumnya..,Mk cuman ngecek formalitas bukan ketidak adilaninget hidup g lama pakpemimpin zalim neraka loh hukumnya,negatif
752,@ardiansyahdamanik2111,UgxxsiapaS5mIFxZwnrIAh4AaABAg.9EaK9K4bUMu9EaKR1SlJJl,Berprasangka buruk tidak baik kawan..,Berprasangka buruk tidak baik kawan,negatif
753,@momonosuke3338,UgxxsiapaS5mIFxZwnrIAh4AaABAg.9EaK9K4bUMu9EaKjsetujuuNp4,@@ardiansyahdamanik2111 mknya beljar broo..bca UU nya beljar wewenang MK juga..,Ardiansyahdamanik2111 mknya beljar broobca uu nya beljar wewenang mk juga,negatif
754,@vinayasa843,UgxUb3KagW6Yp6a3-Qd4AaABAg,Lah MK MK an pada dasar nya 11/12 gak merakyat duit berbicara apa lah rakyat jelata Setujuuuu,Lah mk mk an pada dasar nya 1112 gak merakyat duit berbicara apa lah rakyat jelata setujuuuu,negatif
755,@sunartosunarto2562,Ugy1okqUetu3xXl8QvJ4AaABAg,"Menyesal sya memilimu pðŸ˜‚ðŸ˜‚ak,!!!!!",Menyesal sya memilimu pak,negatif
756,@khususiapalaylistmusikpribadi,UgyFRp3jv3EVkrLumLV4AaABAg,Jika soekarno mengatakan hal ini. Kayanya gak mungkin dah,Jika soekarno mengatakan hal ini kayanya gak mungkin dah,negatif
757,@steevencoogan8754,UgxZ1bkUjlnw0r0HCP54AaABAg,Ya elah pak de jawabannya standar abis yang diminta rakyat itu keadilan kali harapan mereka ke pemimpin. kenapa jadi dealer mulu sih??,Ya elah pak de jawabannya standar abis yang diminta rakyat itu keadilan kali harapan mereka ke pemimpin kenapa jadi dealer mulu sih,negatif
758,@adamsgamingproject5041,UgxJnUNujFkYixBfdP94AaABAg,turun!!!,Turun,negatif
759,@sitimuchjati626,UgyRYHxVC7gV_WyWGsl4AaABAg,"Percuma,sia2 saja k mk hasilnya sama dengan pilpres",Percumasia2 saja k mk hasilnya sama dengan pilpres,negatif
760,@ramdoni2384,UgwZxUQhKo8ZRh1Z0oB4AaABAg,"EMANG GITU ALURNYA, MAU GIMANA DAH KETEBAK LAH HASILNYA.",Emang gitu alurnya mau gimana dah ketebak lah hasilnya,negatif
761,@ardiansyahdamanik2111,UgwZxUQhKo8ZRh1Z0oB4AaABAg.9EaK2R4_g_f9EaUICHTx5J,Emg menurutmu jadi pemimpin gampang dan bisa mengerti ribuan perasaan rakyat..,Emg menurutmu jadi pemimpin gampang dan bisa mengerti ribuan perasaan rakyat,negatif
762,@bucinpekok1408,UgwZxUQhKo8ZRh1Z0oB4AaABAg.9EaK2R4_g_f9EaV4gvwfbG,Bngsattt Lo pikrrrr DPR Ama MK 11..12... Anjimmmm,Bngsattt lo pikrrrr dpr ama mk 1112 anjimmmm,negatif
763,@maulindadesi6293,UgwZxUQhKo8ZRh1Z0oB4AaABAg.9EaK2R4_g_f9EaVuCI_e4-,"Saya juga mengadukan pada Allah SWT aja,biar semua orang2 pemerintahan yg dholim dan menyusahkan rakyatanya mendapatkan balasan yg setimpal didunia dan diakhirat,segerakan ya Robb ðŸ™",Saya juga mengadukan pada allah swt ajabiar semua orang2 pemerintahan yg dholim dan menyusahkan rakyatanya mendapatkan balasan yg se,negatif
764,@ardiansyahdamanik2111,UgwZxUQhKo8ZRh1Z0oB4AaABAg.9EaK2R4_g_f9EaXHHFcC-H,@@bucinpekok1408 ya intinya demo secara ilegal tidak menyelesaikan masalah malahan menambah masalah apalagi merusak,Bucinpekok1408 ya intinya demo secara ilegal tidak menyelesaikan masalah malahan menambah masalah apalagi merusak,negatif
765,@abdellatief5719,Ugz9Wx-ngymtpqg8wuB4AaABAg,TAHU GINI DULU GAK GW PILIH....BELUSUKAN KATA NYA....PENCITRAAN,Tahu gini dulu gak gw pilihbelusukan kata nyapencitraan,negatif
766,@distahonip1616,Ugy61-pC6JRQTxch-rB4AaABAg,Turut berduka cita atas matinya hati nurani para pemimpin negri ini..,Turut berduka cita atas matinya hati nurani para pemimpin negri ini,negatif
767,@danyank1103,Ugy61-pC6JRQTxch-rB4AaABAg.9EaK1KdBDVW9EaQ6d-QlZe,Innalillahi wainnailahi rojiun.. Semoga mati nga di terima bumi,Innalillahi wainnailahi rojiun semoga mati nga di terima bumi,negatif
768,@tommypager82,Ugy61-pC6JRQTxch-rB4AaABAg.9EaK1KdBDVW9Eay7flyWST,"@@utinyaanb lumrah kalau rakyat gampang terprovokasi, udah tau masih WFH masih pandemi kok nekat pemerintah bikin kegaduhan",Utinyaanb lumrah kalau rakyat gampang terprovokasi udah tau masih wfh masih pandemi kok nekat pemerintah bikin kegaduhan,negatif
769,@dobolidst889,UgyCgXgWISbTEq8hha54AaABAg,Saatnya bersaing dgn negara lain...,Saatnya bersaing dgn negara lain,negatif
770,@emilazwar5057,Ugz_hSdadait8-YwUU54AaABAg,Hahahahahahaha ngelawak pak de,Hahahahahahaha ngelawak pak de,negatif
771,@platinumautorent2961,UgyWvoy_s9luEMc8IeJ4AaABAg,"Jok, kalau bikin undang2 sekedar nanti dirubah di MK mah, cuman ngabisin duit aja sama korban jiwa . bikin undang2 kok harus ada demo dulu",Jok kalau bikin undang2 sekedar nanti dirubah di mk mah cuman ngabisin duit aja sama korban jiwa bikin undang2 kok harus ada demo dulu,negatif
772,@JamesBond-gn3ry,UgyWvoy_s9luEMc8IeJ4AaABAg.9EaJxuCVc5z9EaNLXqvVGL,Emang knp demo? Demo kan hak warga negara menyampaikan asiapairasi,Emang knp demo demo kan hak warga negara menyampaikan asiapairasi,negatif
773,@narasumber5301,UgyWvoy_s9luEMc8IeJ4AaABAg.9EaJxuCVc5z9Eg4eIgKNl8,"Kalo asiapairasi nya gk di gubris, podo wae..",Kalo asiapairasi nya gk di gubris podo wae,negatif
774,@teukulamno774,Ugzz7gCO47ZZb_dlI6B4AaABAg,Jo,Jo,negatif
775,@natediaz7543,Ugy6sF56c0u7IAWw6o54AaABAg,Silahkan mengajukan melaui MK wahai orang2 kecil! Mana di denger boss,Silahkan mengajukan melaui mk wahai orang2 kecil mana di denger boss,negatif
776,@ardiansyahdamanik2111,Ugy6sF56c0u7IAWw6o54AaABAg.9EaJx-gsdeY9EaKuGb_bS4,Pasti di dengerðŸ™ jikalau di lakukan menaati protokol yang sudah di buat,Pasti di denger jikalau di lakukan menaati protokol yang sudah di buat,negatif
777,@NASORUDINTUTORIAL,Ugzfwdv2xoEW20VAMpZ4AaABAg,UPLOAD KO SETENGAH2 PAS PAS KOMPAS ðŸ˜€,Upload ko setengah2 pas pas kompas,negatif
778,@rendinabila3399,Ugzfwdv2xoEW20VAMpZ4AaABAg.9EaJwWJ--OT9EaS6oXmmgi,"Emang bikin orang gagal faham ajaa,, Saya sudah lihat fidio ful nya ... JD semua ini hanya salah faham ... Mudah mudahan Indonesia damayðŸ™ðŸ™",Emang bikin orang gagal faham ajaa saya sudah lihat fidio ful nya jd semua ini hanya salah faham mudah mudahan indonesia damay,negatif
779,@nhiarbaengz5380,UgzYF5YvSN7L5srVHLN4AaABAg,"MK, udah pasti kau sogok dlu jokodok ... preeet ðŸ˜€ðŸ˜€ðŸ˜€",Mk udah pasti kau sogok dlu jokodok preeet,negatif
780,@sangpetualang5327,UgyysY0VVQhRNOh_RN54AaABAg,Rakyat itu minta anda yg putuskan. Anda kan punya hak tentang negara ini. Apa kah anda tidak punya nyali untuk memutuskan kebijakan ini.,Rakyat itu minta anda yg putuskan anda kan punya hak tentang negara ini apa kah anda tidak punya nyali untuk memutuskan kebijakan ini,negatif
781,@faizfahrudin1714,Ugy_JONZfdXxVeLNEUp4AaABAg,Sudahlah bro tunggu saja gak lama kok 2024 skrang sabarkan dulu. Percuma,Sudahlah bro tunggu saja gak lama kok 2024 skrang sabarkan dulu percuma,negatif
782,@hendrasusanto4101,UgzX_An5GO-57dQZzYN4AaABAg,Buang2 tenaga aja. MKnya isinya ya orang sono,Buang2 tenaga aja mknya isinya ya orang sono,negatif
783,@fadilyoga5055,Ugx0eoA6f7IWtD5dVJl4AaABAg,Jelas menang .MK nggak mungkin berpihak dengan rakyat,Jelas menang mk nggak mungkin berpihak dengan rakyat,negatif
784,@atikazidan6439,UgxsAf_wERpevWxQdp94AaABAg,huh udah di baein bilang aja pengen bikin Indonesia ancur,Huh udah di baein bilang aja pengen bikin indonesia ancur,negatif
785,@sinarjaya777online9,UgxsAf_wERpevWxQdp94AaABAg.9EaJtidakE73n9EbcBtElFls,@@hendiabdulmajid2867 anda dah baca semua belum isinya? Halamannya aja dah 905 halaman,Hendiabdulmajid2867 anda dah baca semua belum isinya halamannya aja dah 905 halaman,negatif
786,@hendiabdulmajid2867,UgxsAf_wERpevWxQdp94AaABAg.9EaJtidakE73n9Ebe3w9b0WR,@@sinarjaya777online9 saya tanya pada anda supuya saya tau,Sinarjaya777online9 saya tanya pada anda supuya saya tau,negatif
787,@hendiabdulmajid2867,UgxsAf_wERpevWxQdp94AaABAg.9EaJtidakE73n9EbeCFnTEAf,@@sinarjaya777online9 makan nya kalo bikin argumen yang pas dong dengan materi malah mendoakan yang ga baik ðŸ˜´ðŸ˜´ðŸ˜¢ðŸ˜¢ðŸ˜¢,Sinarjaya777online9 makan nya kalo bikin argumen yang pas dong dengan materi malah mendoakan yang ga baik,negatif
788,@afa2484,UgydK8eSvqkqbSd3gxh4AaABAg,Cek channel ku gaes Ada video alasan mengapa orang tolak omnibus law,Cek channel ku gaes ada video alasan mengapa orang tolak omnibus law,negatif
789,@karimdimana9539,UgyA9b5OHQ_8OyZ3nP14AaABAg,"Siap pak de, yg tidak setuju UU Ciptaker itu bukan manusia lg dan polri hrs wasiapaadai ðŸ™",Siap pak de yg tidak setuju uu ciptaker itu bukan manusia lg dan polri hrs wasiapaadai,negatif
790,@billbailey359,Ugyk-rK-MuCf4-kBgsx4AaABAg,Jadi inget BPJS...,Jadi inget bpjs,negatif
791,@HambaAllah-em4rd,Ugyn4l0lx_SjPsUMJzt4AaABAg,Pernyataan bodohh Sudah didemu masih nanyak ketidak puasan... Sll bertele tele dr bahasanya sudah ambu radul Kayak ngak singkron adanya DEMU dgn kata MASIH Lucuu..,Pernyataan bodohh sudah didemu masih nanyak ketidak puasan sll bertele tele dr bahasanya sudah ambu radul kayak ngak singkron adanya demu dgn kata masih lucuu,negatif
792,@Lutfinh,Ugy8nAS9XMmFAtXirHJ4AaABAg,"Semuga yg buat rusuh tertangkap penggerak nya juga di tangkap,",Semuga yg buat rusuh tertangkap penggerak nya juga di tangkap,negatif
793,@ridhoaditya3591,UgziXDfzxD-z4SxtXF54AaABAg,ah shit here we go again,Ah shit here we go again,negatif
794,@soniarisandy4107,Ugx_VRKPN1YahP9GUKN4AaABAg,haaaaaa di suruh ke MK saya yakin 100% MK gak bakalan mihak rakyat gak bakalan netral MK pasti udah di lobi dari rezim sekarang wiwi,Haaaaaa di suruh ke mk saya yakin 100 mk gak bakalan mihak rakyat gak bakalan netral mk pasti udah di lobi dari rezim sekarang wiwi,negatif
795,@Soegiri-ck5mk,UgwGrR7isY7Pc2KrXbJ4AaABAg,MK SAJA BISA DISUAP . MAU DIAJUKAN KEMANA LAGI ?,Mk saja bisa disuap mau diajukan kemana lagi,negatif
796,@nhiarbaengz5380,Ugx6k13_PNL1XQ7CUlp4AaABAg,Udah streees pinokio,Udah streees pinokio,negatif
797,@mandellu2755,Ugy9ErdXnJlh3ndkj414AaABAg,"Sy rindu di demo,, eh kabur Wakilnya juga entah kemana",Sy rindu di demo eh kabur wakilnya juga entah kemana,negatif
798,@cheghuevara9022,Ugy9ErdXnJlh3ndkj414AaABAg.9EaJdwlcvfQ9EbayAmk2mO,Wakilnya tidur dah sepuh,Wakilnya tidur dah sepuh,negatif
799,@chudemfishing7456,Ugx4yQCjhoSmI3to-vh4AaABAg,Percuma di gugat ari rezim na ....nu kos kiyeu patut mah angger moal di denge iyeuh ..geus kumaha anjeun wehlah da indonesia nu anjeun iyeu jadi bebas rek kumah2 oge,Percuma di gugat ari rezim na nu kos kiyeu patut mah angger moal di denge iyeuh geus kumaha anjeun wehlah da indonesia nu anjeun iyeu jadi bebas rek kumah2 oge,negatif
800,@sangpetualang5327,UgySUwQHn67TAPfoBPB4AaABAg,Jangan hanya gtu tanggapan anda pak. Tenangkan masa seluruh indonesia. Jangan sampai terjadi anarkisme lagi,Jangan hanya gtu tanggapan anda pak tenangkan masa seluruh indonesia jangan sampai terjadi anarkisme lagi,negatif
801,@farelananta1502,Ugz1GfEj6yyloa3i-yJ4AaABAg,udah pindah negara aja,Udah pindah negara aja,negatif
802,@hendiksetiyadi4153,UgzBCgRYADuqazyjgDt4AaABAg,Rakyat tau pak hukum itu tajam kemana!!!,Rakyat tau pak hukum itu tajam kemana,negatif
803,@intenswarni4080,UgzBCgRYADuqazyjgDt4AaABAg.9EaJcc8WeAT9EaR-2afUWS,Topp,Topp,positif
804,@insideme4615,Ugx3EztMFOyjGfNor9x4AaABAg,smua jbatan iku gur omong kosong...pkiren gawe dengkul... trus fungsine raimu kui gae opo ... kok rakyatmu kon nggolek kebenaran dewe,Smua jbatan iku gur omong kosongpkiren gawe dengkul trus fungsine raimu kui gae opo kok rakyatmu kon nggolek kebenaran dewe,negatif
805,@johannanda4713,Ugwq_QSX1BY4jHtftZF4AaABAg,Dulu mau kau masuk dalam parit!! Skrg keluar istana aja gak berani!!,Dulu mau kau masuk dalam parit skrg keluar istana aja gak berani,negatif
806,@fatemahamdan8049,Ugwq_QSX1BY4jHtftZF4AaABAg.9EaJanWR2XM9EaKut0-SVC,"setuju tul bgt,",setuju tul bgt,positif
807,@ardiansyahdamanik2111,Ugwq_QSX1BY4jHtftZF4AaABAg.9EaJanWR2XM9EaL9RvifV0,Lihat kondis lah bro..massa stm dan buruh sudah di provokator oleh pihak yg tak bertanggung jawab jadi lepas kendali mana bisa di bicarakan secara baik baik,Lihat kondis lah bromassa stm dan buruh sudah di provokator oleh pihak yg tak bertanggung jawab jadi lepas kendali mana bisa di bicarakan secara baik baik,negatif
808,@natediaz7543,Ugwq_QSX1BY4jHtftZF4AaABAg.9EaJanWR2XM9EaM9nyLNNv,Nongolnya pun telat pula diaðŸ˜‚,Nongolnya pun telat pula dia,negatif
809,@wandiotopurba5951,Ugwq_QSX1BY4jHtftZF4AaABAg.9EaJanWR2XM9EaO4vaS_kA,"@@ardiansyahdamanik2111 ,provokator sama siapa....?,itu akibat dari asiapairasi rakyat yg dibohongi",Ardiansyahdamanik2111 provokator sama siapaitu akibat dari asiapairasi rakyat yg dibohongi,negatif
810,@royyadi85,UgwEfPe7fl6ECNWCOFp4AaABAg,Yg dulunya dukung rezim ini ya nikmati saja lah itukan pilihan mu,Yg dulunya dukung rezim ini ya nikmati saja lah itukan pilihan mu,netral
811,@deliakhoerunisa7087,UgwEfPe7fl6ECNWCOFp4AaABAg.9EaJZzRye5p9EaK2GPM5Ni,"Btuuuuullllllll,,,, mantuulllllL",Btuuuuullllllll mantuullllll,positif
812,@zackie9083,UgwuI-PNhmzS5b8PTuF4AaABAg,Ya ALLAH,Ya allah,netral
813,@yulaikahyul9324,UgzhquYRC8oVUCI91rt4AaABAg,MK sudah dikebiri dulu sama pemerintah percuma hasilnya pasti menyakitkan,Mk sudah dikebiri dulu sama pemerintah percuma hasilnya pasti menyakitkan,negatif
814,@healslime5411,UgxqUPA6SnoYMSa_TJ14AaABAg,Maaf Ini ada apa? 36 detik ky status instagram..,Maaf ini ada apa 36 detik ky status instagram,negatif
815,@MGharriy,UgxqUPA6SnoYMSa_TJ14AaABAg.9EaJZ22guOu9EnFxdCQ5sV,Patrick: Uhh..Stupid?,Patrick uhhstupid,negatif
816,@dorkykidleader838,UgwZYz_YpDmbDJ0fsGl4AaABAg,Saatnya Revolution,Saatnya revolution,negatif
817,@elfiarman6772,UgwuNaav73nYu02RoHd4AaABAg,Uaaak uaaak pengen muntah....,Uaaak uaaak pengen muntah,negatif
818,@arjunakeongkeong6544,UgyAC_NgkEBXRmCNaFV4AaABAg,Mk itu apa ya...,Mk itu apa ya,negatif
819,@baiqsumiati3581,UgyLNH7jsHXRt5oR6kd4AaABAg,MK masih dibawah perintah.percuma menggugat.kita sudah buktikan kok di pilpres kemarin.0,Mk masih dibawah perintahpercuma menggugatkita sudah buktikan kok di pilpres kemarin0,negatif
820,@bagussetiawan8238,UgyqGgwNolAS5jkrVJZ4AaABAg,Matamu Ke MK Sana Lu aja ke MK minta di rukiyah,Matamu ke mk sana lu aja ke mk minta di rukiyah,negatif
821,@taufikakmal7845,UgzbpQLkqr6hIz_pCuF4AaABAg,"kalau udah di suruh ke MK, aaaah sudah lah begini aja terus sampai masa jabatan mu habisðŸ’©ðŸ’©ðŸ’©",kalau udah di suruh ke mk aaaah sudah lah begini aja terus sampai masa jabatan mu habis,negatif
822,@heryanirahman3367,UgwNXwY9yVoKrhOfh554AaABAg,Betapa legowonya bp pdhal yg demo dh g pda punya ahlak.msh tetep mnyanyangi rakyatnya,Betapa legowonya bp pdhal yg demo dh g pda punya ahlakmsh tetep mnyanyangi rakyatnya,negatif
823,@suparnosupar6533,UgwT9-ZtoIQe216-H8l4AaABAg,Mk dah disumpel ga mungkin mbatalkan,Mk dah disumpel ga mungkin mbatalkan,negatif
824,@tjmal_barokah2279,UgzdvlRbRk8JyKNSQH94AaABAg,Ah gak mau komen takut d penjara ...sedikit kesalahan pasti ada ganjaran,Ah gak mau komen takut d penjara sedikit kesalahan pasti ada ganjaran,negatif
825,@rohayatihayati8551,Ugz6q90nBI6jjx17c_p4AaABAg,Tarik mundur dulu polisinya gimana sih....,Tarik mundur dulu polisinya gimana sih,negatif
826,@ohhmymyyaa3505,UgxpvCn94Gq38tilTJB4AaABAg,"Gugat ke MK terus MK ketuk palu,gugatan di Tolak.. Paling modalin 1M juga MK bakalan nolak gugatan nya",Gugat ke mk terus mk ketuk palugugatan di tolak paling modalin 1m juga mk bakalan nolak gugatan nya,negatif
827,@vavhitink8691,UgxpvCn94Gq38tilTJB4AaABAg.9EaJHMw9tqt9EaVNTOD5VF,Mk jga hakim nya sekutu mereka ðŸ˜‚,Mk jga hakim nya sekutu mereka,negatif
828,@princessmeri6860,UgxpvCn94Gq38tilTJB4AaABAg.9EaJHMw9tqt9Ed7vV7wwNh,Seperti nya,Seperti nya,negatif
829,@dwikymiqbal1603,UgzjrApOvISLswFWOpd4AaABAg,"Nyuruuh ke MK , kalau MK ga netrals siap siap aja 7 turunan nya ilang dari indonesia",Nyuruuh ke mk kalau mk ga netrals siap siap aja 7 turunan nya ilang dari indonesia,negatif
830,@Kenziagamingcute8890,UgwMe9qchBWizwXKZv14AaABAg,Ngomong opo to Kowe kui lek...,Ngomong opo to kowe kui lek,negatif
831,@rafdakomunika7150,UgwzX5lfaC9I2xhrnmN4AaABAg,"Kalo saja saya seorg produser film ..pasti saya sdh bikin sinetron judul nya "" Indonesia dijual ,siapa yg mau beli lagi ?""",Kalo saja saya seorg produser film pasti saya sdh bikin sinetron judul nya indonesia dijual siapa yg mau beli lagi,negatif
832,@brylianabdurrahman3606,UgxmAVu7w35d7K3iIHB4AaABAg,"Periode ke dua ini pakdhe joko benar2 mantap, mulai dari uu kpk, uu minerba dan skrg uu cilaka.",Periode ke dua ini pakdhe joko benar2 mantap mulai dari uu kpk uu minerba dan skrg uu cilaka,negatif
833,@fateh_ali_khan,UgxmAVu7w35d7K3iIHB4AaABAg.9EaJAXereUo9EaNtR4y__s,bnntr lagiii uuu perubahan pancasilaa tunggu ajaa apesss loo,Bnntr lagiii uuu perubahan pancasilaa tunggu ajaa apesss loo,negatif
834,@akbarmulyadi2353,UgxmAVu7w35d7K3iIHB4AaABAg.9EaJAXereUo9EaSWRYRGfm,@Monsters2k9 kwowkoewi,Monsters2k9 kwowkoewi,netral
835,@vavhitink8691,UgxmAVu7w35d7K3iIHB4AaABAg.9EaJAXereUo9EaVsetuju4pGr_,Mantap ðŸ˜‚ðŸ˜‚ðŸ˜‚ 3 periode ae,Mantap 3 periode ae,positif
836,@yokinyt1009,UgxmAVu7w35d7K3iIHB4AaABAg.9EaJAXereUo9Ei_0vllzeB,Wkwkwk kerennn kita tunggu selanjutnya,Wkwkwk kerennn kita tunggu selanjutnya,positif
837,@bagussetioarmodo3542,UgyQccnyqIZUvMdYFnt4AaABAg,Mk tu kacung lu percuma,Mk tu kacung lu percuma,negatif
838,@syamsularifin7143,Ugz-euRqzywr25zjSBl4AaABAg,"Luar biasa... Mau dibawa ke arah yg lebih baik dan mensejahterakan, ditolak. Luar biasa suka akan hal yg busuk Kulitnya indah dlm nya rusak. Konsiapairasi politik memang hebat. Hebat berbuat pengelabuan, fatamorgana, Hoax kpd massa yg bersahaja. Tujuan utama mutlak Singgasana.","Luar biasa... Mau dibawa ke arah yg lebih baik dan mensejahterakan, ditolak. Luar biasa suka akan hal yg busuk Kulitnya indah dlm nya rusak. Konsiapairasi politik memang hebat. Hebat berbuat pengelabuan, fatamorgana, Hoax kpd massa yg bersahaja. Tujuan utama mutlak Singgasana.",netral
839,@ardiansyahdamanik2111,Ugz-euRqzywr25zjSBl4AaABAg.9EaJ96aIBuA9EaLDCkL96i,Beprasangka buruk tidak baik broðŸ™,Beprasangka buruk tidak baik bro,netral
840,@afsaan4068,Ugz-euRqzywr25zjSBl4AaABAg.9EaJ96aIBuA9EaR_pdTZ1l,"@@ardiansyahdamanik2111 Memang bro prasangka buruk itu tidak baik, tp klu hati rakyat berulang"" sllu d bodohi terus""an itu, harus bagaimana, Dan pidato d atas itu pemerintah bilang apa, mungkin masalah uu akan d lempar Sana sini padahal klu tidak d setujui pe","@@ardiansyahdamanik2111 Memang bro prasangka buruk itu tidak baik, tp klu hati rakyat berulang"" sllu d bodohi terus""an itu, harus bagaimana, Dan pidato d atas itu pemerintah bilang apa, mungkin masalah uu akan d lempar Sana sini padahal klu tidak d setujui pe",netral
841,@ardiansyahdamanik2111,Ugz-euRqzywr25zjSBl4AaABAg.9EaJ96aIBuA9EaS5QFlSyJ,@@afsaan4068 makanya bro berpikir jernih..ini ada sebuah permainan di politik..si video sebelumnya pemerintah tidak menanggapi tentang uu yg di buat DPR itu karena kondisi negara bluk stabil namun banyak anggota dpr yang ingin cepat..makanya di sini ada permain,,netral
842,@afsaan4068,Ugz-euRqzywr25zjSBl4AaABAg.9EaJ96aIBuA9EaTcakdz0f,@@ardiansyahdamanik2111 emang anda itu sdh berfikir lebih jernih bro ?? Hmm Jadi Jwbnya insult,Ardiansyahdamanik2111 emang anda itu sdh berfikir lebih jernih bro hmm jadi jwbnya insult,netral
843,@ardiansyahdamanik2111,Ugz-euRqzywr25zjSBl4AaABAg.9EaJ96aIBuA9EaURsQyuQy,@@afsaan4068 aku hanya meluruskan aja jgn pernah mudah percaya apa yg di baca di medsos..hoax hoax publik..itu tujuannya agar rusaknya asiapaw negara biar negara banyak lagi hutangnya..,Afsaan4068 aku hanya meluruskan aja jgn pernah mudah percaya apa yg di baca di medsoshoax hoax publikitu tujuannya agar rusa,netral
844,@joarsahvlog8710,UgylPW_ecouzBxkhTdh4AaABAg,"Hari gini percaya MK pak,,,percuma",Hari gini percaya mk pakpercuma,netral
845,@yoelianti1659,UgytahunqYP8UdDgDMXmXF4AaABAg,MK nya berat kemana ya kira2?....,Mk nya berat kemana ya kira2,netral
846,@Rambe7,Ugyq3SZiaL4KS13v__x4AaABAg,Ke MK naik apa ooommm..Pengen nya naik Esemka tapi taxi nya gak ada ...masa harus jalan kaki,Ke mk naik apa ooommmpengen nya naik esemka tapi taxi nya gak ada masa harus jalan kaki,netral
847,@mochammadrosidi66,UgyHtgTy4dwEAgN8WcN4AaABAg,Ya sambil di bantu pak biar bisa jalan,Ya sambil di bantu pak biar bisa jalan,netral
848,@yopitamaharani6632,UgxczXUDdMt4cNYgYxp4AaABAg,Soale gak ada teks ya pak jdi demo besar2ran disuruh gugat ke mk lucu pak pak anda ini.....,Soale gak ada teks ya pak jdi demo besar2ran disuruh gugat ke mk lucu pak pak anda ini,netral
